event	type	value	time
742	T	4	408.564152
0	key	1!	56101.480586
743	removal	4	409.164282
744	T	1	409.414301
0	key	2@	56102.240555
745	removal	1	410.014416
746	T	4	410.264439
0	key	1!	56103.192587
747	removal	4	410.864513
748	T	3	411.114566
0	key	0)	56103.952587
749	removal	3	411.714649
750	T	2	411.964698
0	key	9(	56104.816586
751	removal	2	412.564814
752	T	3	412.814847
0	key	0)	56105.664586
753	removal	3	413.414910
754	T	4	413.664938
0	key	1!	56106.592587
755	removal	4	414.265048
756	T	1	414.515074
0	key	2@	56107.368586
757	removal	1	415.115191
758	T	2	415.365220
0	key	9(	56108.176582
759	removal	2	415.965302
760	T	1	416.215336
0	key	1!	56109.056587
0	key	2@	56109.184583
761	removal	1	416.815455
762	T	3	417.065487
0	key	0)	56109.816587
763	removal	3	417.665580
764	T	2	417.915638
0	key	2@	56110.712556
765	removal	2	418.515692
766	T	4	418.765734
0	key	1!	56111.704588
767	removal	4	419.365834
768	T	2	419.615869
0	key	9(	56112.464553
769	removal	2	420.215948
770	T	3	420.466009
0	key	0)	56113.296556
771	removal	3	421.066081
772	T	1	421.316124
0	key	2@	56114.168591
773	removal	1	421.916233
774	T	4	422.166257
