event	type	value	time
552	T	4	301.514639
553	removal	4	302.114906
554	T	1	302.364672
555	removal	1	302.964448
556	T	4	303.214827
557	removal	4	303.814485
558	T	3	304.063922
559	removal	3	304.663530
560	T	2	304.913724
561	removal	2	305.514076
562	T	1	305.763593
563	removal	1	306.363417
564	T	2	306.613637
565	removal	2	307.213464
566	T	4	307.462876
567	removal	4	308.062529
568	T	1	308.313127
569	removal	1	308.912717
570	T	3	309.162645
571	removal	3	309.762161
572	T	4	310.011948
573	removal	4	310.612057
574	T	1	310.862331
575	removal	1	311.461617
576	T	3	311.711583
577	removal	3	312.311567
578	T	2	312.561566
579	removal	2	313.161353
580	T	4	313.411506
581	removal	4	314.011105
582	T	1	314.260882
583	removal	1	314.860773
584	T	2	315.110425
585	removal	2	315.710308
586	T	3	315.960520
587	removal	3	316.560015
588	rest	+	316.810153
589	cue	R	328.805906
590	R	4	330.804430
591	removal	4	331.404943
592	R	3	331.653981
593	removal	3	332.253976
594	R	2	332.504261
595	removal	2	333.104217
596	R	1	333.353665
597	removal	1	333.954015
598	R	2	334.204009
599	removal	2	334.803651
600	R	3	335.053700
601	removal	3	335.653661
602	R	4	335.903397
603	removal	4	336.502695
604	R	1	336.769339
605	removal	1	337.369378
606	R	3	337.619137
607	removal	3	338.218984
608	R	1	338.468802
609	removal	1	339.068529
610	R	4	339.318895
611	removal	4	339.918841
612	R	2	340.168209
613	removal	2	340.768358
614	R	1	341.018319
615	removal	1	341.617693
616	R	3	341.867952
617	removal	3	342.467702
618	R	4	342.717372
619	removal	4	343.317699
620	R	2	343.567481
621	removal	2	344.166493
622	R	1	344.416795
623	removal	1	345.016477
624	R	2	345.266686
625	removal	2	345.866517
626	R	4	346.115853
627	removal	4	346.716396
628	R	3	346.966267
629	removal	3	347.565776
630	R	2	347.815833
631	removal	2	348.415468
632	R	4	348.665562
633	removal	4	349.265056
634	R	3	349.514629
635	removal	3	350.114800
636	R	1	350.364450
637	removal	1	350.964572
638	rest	+	351.214605
639	cue	S	363.210407
640	S	4	365.210089
641	removal	4	365.809921
642	S	3	366.059880
643	removal	3	366.659784
644	S	2	366.909511
645	removal	2	367.508810
646	S	4	367.759042
647	removal	4	368.359246
648	S	1	368.608737
649	removal	1	369.208474
650	S	3	369.458641
651	removal	3	370.058134
652	S	4	370.308132
653	removal	4	370.907834
654	S	2	371.157848
655	removal	2	371.758062
656	S	1	372.007425
657	removal	1	372.607634
658	S	2	372.857779
659	removal	2	373.457328
660	S	3	373.707046
661	removal	3	374.307034
662	S	1	374.556875
663	removal	1	375.156823
664	S	4	375.406721
665	removal	4	376.006412
666	S	3	376.256165
667	removal	3	376.856169
668	S	2	377.106264
669	removal	2	377.706037
670	S	4	377.955985
671	removal	4	378.555525
672	S	1	378.805556
673	removal	1	379.405164
674	S	3	379.654804
675	removal	3	380.255206
676	S	4	380.505123
677	removal	4	381.104523
678	S	2	381.354113
679	removal	2	381.953995
680	S	1	382.204193
681	removal	1	382.803476
682	S	2	383.054028
683	removal	2	383.654020
684	S	3	383.903880
685	removal	3	384.503529
686	S	1	384.753479
687	removal	1	385.353524
688	S	4	385.602554
689	removal	4	386.202671
690	S	3	386.452751
691	removal	3	387.052899
692	S	2	387.319248
693	removal	2	387.919110
694	S	4	388.168752
695	removal	4	388.768335
696	S	1	389.018651
697	removal	1	389.617728
698	S	3	389.868014
699	removal	3	390.468083
700	S	4	390.717758
701	removal	4	391.317704
702	S	2	391.567934
703	removal	2	392.167653
704	S	1	392.417375
705	removal	1	393.016902
706	S	2	393.266587
707	removal	2	393.866978
708	S	3	394.116919
709	removal	3	394.716816
